checkpoint,step,direction,layer,head,mean
step_015000,15000,clone_to_original,10,4,0.005466238872424976
step_015000,15000,clone_to_original,10,5,0.0005530462608681069
step_015000,15000,clone_to_original,10,6,-0.011333542364137666
step_015000,15000,clone_to_original,10,7,-0.008436772200438354
step_015000,15000,clone_to_original,11,0,-0.0028297315846692334
step_015000,15000,clone_to_original,11,1,-0.000842983121270532
step_015000,15000,clone_to_original,11,2,-0.003580708224494178
step_015000,15000,clone_to_original,11,3,0.0005669545482944797
step_015000,15000,clone_to_original,11,4,-0.003126176627906593
step_015000,15000,clone_to_original,11,5,0.0002237558364868164
step_015000,15000,clone_to_original,11,6,0.002523204227825543
step_015000,15000,clone_to_original,11,7,0.00314018371942881
step_030000,30000,original_to_clone,0,0,-0.0015248688491615089
step_030000,30000,original_to_clone,0,1,-0.00014369605897783159
step_030000,30000,original_to_clone,0,2,-0.0038937410792788943
step_030000,30000,original_to_clone,0,3,-0.0004971124030448295
step_030000,30000,original_to_clone,0,4,-0.0014696497100967546
step_030000,30000,original_to_clone,0,5,0.0005608856141030252
step_030000,30000,original_to_clone,0,6,-2.8073250710427224e-06
step_030000,30000,original_to_clone,0,7,-0.0006956474201099292
step_030000,30000,original_to_clone,1,0,-0.0007185586937912949
step_030000,30000,original_to_clone,1,1,0.0007780242610622097
step_030000,30000,original_to_clone,1,2,-0.0004864791492084125
step_030000,30000,original_to_clone,1,3,-0.00019430792009508287
step_030000,30000,original_to_clone,1,4,-0.0007848771842750343
step_030000,30000,original_to_clone,1,5,-0.0014760628476873175
step_030000,30000,original_to_clone,1,6,-0.00260072355871802
step_030000,30000,original_to_clone,1,7,-0.0009614588978054287
step_030000,30000,original_to_clone,2,0,-0.0013717670698423644
step_030000,30000,original_to_clone,2,1,0.0004511094308114267
step_030000,30000,original_to_clone,2,2,-0.0017968990781285742
step_030000,30000,original_to_clone,2,3,-0.0009386995891193012
step_030000,30000,original_to_clone,2,4,-0.00025131788339700787
step_030000,30000,original_to_clone,2,5,-0.0004916787147521973
step_030000,30000,original_to_clone,2,6,-0.0010207311527149097
step_030000,30000,original_to_clone,2,7,-0.00010797032364853867
step_030000,30000,original_to_clone,3,0,-0.00028096877776824676
step_030000,30000,original_to_clone,3,1,-0.0017371397834640364
step_030000,30000,original_to_clone,3,2,-0.0013739595542082916
step_030000,30000,original_to_clone,3,3,-0.0024294616939785243
step_030000,30000,original_to_clone,3,4,-0.0015762518118093679
step_030000,30000,original_to_clone,3,5,-0.00016613532831003
step_030000,30000,original_to_clone,3,6,-0.005199610113023638
step_030000,30000,original_to_clone,3,7,7.450043618142068e-06
step_030000,30000,original_to_clone,4,0,-0.0016910374701560081
step_030000,30000,original_to_clone,4,1,-0.0017272239332800513
step_030000,30000,original_to_clone,4,2,0.0019548331295047793
step_030000,30000,original_to_clone,4,3,0.002454136405979191
step_030000,30000,original_to_clone,4,4,-0.0004256313985532469
step_030000,30000,original_to_clone,4,5,-0.00016700415997891814
step_030000,30000,original_to_clone,4,6,-0.0019040027180233516
step_030000,30000,original_to_clone,4,7,0.00048255759316521724
step_030000,30000,original_to_clone,5,0,-0.0011182959015304979
step_030000,30000,original_to_clone,5,1,0.0042996116586633635
step_030000,30000,original_to_clone,5,2,-0.0017344602593430528
step_030000,30000,original_to_clone,5,3,-0.0032996374207573966
step_030000,30000,original_to_clone,5,4,-0.0021992089512111903
step_030000,30000,original_to_clone,5,5,0.007571457205591975
step_030000,30000,original_to_clone,5,6,0.0010008817320471411
step_030000,30000,original_to_clone,5,7,0.012485797877784248
step_030000,30000,original_to_clone,6,0,-0.0034886555628733593
step_030000,30000,original_to_clone,6,1,-0.0037672288782961733
step_030000,30000,original_to_clone,6,2,-0.003578211273158993
step_030000,30000,original_to_clone,6,3,-0.0036122487471984314
step_030000,30000,original_to_clone,6,4,0.001145612012158643
step_030000,30000,original_to_clone,6,5,-0.0021582347852689724
step_030000,30000,original_to_clone,6,6,-0.00024616933083749035
step_030000,30000,original_to_clone,6,7,-0.0015736023585001628
step_030000,30000,original_to_clone,7,0,-0.00011076315029247387
step_030000,30000,original_to_clone,7,1,-0.002426105039613741
step_030000,30000,original_to_clone,7,2,0.006103044694608396
step_030000,30000,original_to_clone,7,3,-0.00022302769325874947
step_030000,30000,original_to_clone,7,4,-0.0019911205446397936
step_030000,30000,original_to_clone,7,5,0.0007001016591046307
step_030000,30000,original_to_clone,7,6,0.001584790311418138
step_030000,30000,original_to_clone,7,7,-0.0038714124275757386
step_030000,30000,original_to_clone,8,0,0.027992427349090576
step_030000,30000,original_to_clone,8,1,-0.0017912307301083126
step_030000,30000,original_to_clone,8,2,0.03045702249080211
step_030000,30000,original_to_clone,8,3,0.029400357254990586
step_030000,30000,original_to_clone,8,4,-0.00016584374883153418
step_030000,30000,original_to_clone,8,5,-0.0018906598692541724
step_030000,30000,original_to_clone,8,6,-0.0011595170777123254
step_030000,30000,original_to_clone,8,7,0.003782983298774238
step_030000,30000,original_to_clone,9,0,0.014048053337647035
