checkpoint,step,direction,control,task,num_examples,mean_delta_ld
step_005000,5000,original_to_clone,opposite-number,object_relative,304,0.009330211501372488
step_005000,5000,original_to_clone,same-number-shuffled,object_relative,304,0.00846187064522191
step_005000,5000,original_to_clone,opposite-number-shuffled,object_relative,304,0.009249545241657057
step_005000,5000,clone_to_original,clean,object_relative,304,0.0027175953513697572
step_005000,5000,clone_to_original,opposite-number,object_relative,304,-0.0010468536301663047
step_005000,5000,clone_to_original,same-number-shuffled,object_relative,304,0.0009179679970992239
step_005000,5000,clone_to_original,opposite-number-shuffled,object_relative,304,-0.0030596679762790076
step_015000,15000,original_to_original,clean,object_relative,304,0.00234727796755339
step_015000,15000,original_to_original,opposite-number,object_relative,304,1.0352385671515214e-07
step_015000,15000,original_to_original,same-number-shuffled,object_relative,304,0.003434189056095324
step_015000,15000,original_to_original,opposite-number-shuffled,object_relative,304,0.0001795919317948191
step_015000,15000,clone_to_clone,clean,object_relative,304,0.326511916361357
step_015000,15000,clone_to_clone,opposite-number,object_relative,304,2.0391062686317845e-07
step_015000,15000,clone_to_clone,same-number-shuffled,object_relative,304,0.32487165927886963
step_015000,15000,clone_to_clone,opposite-number-shuffled,object_relative,304,-0.015108430071880943
step_015000,15000,original_to_clone,clean,object_relative,304,0.1543753241237841
step_015000,15000,original_to_clone,opposite-number,object_relative,304,0.15539447884810598
step_015000,15000,original_to_clone,same-number-shuffled,object_relative,304,0.1557366706823048
step_015000,15000,original_to_clone,opposite-number-shuffled,object_relative,304,0.15443542913386696
step_015000,15000,clone_to_original,clean,object_relative,304,0.02538688245572542
step_015000,15000,clone_to_original,opposite-number,object_relative,304,-0.02203198796824405
step_015000,15000,clone_to_original,same-number-shuffled,object_relative,304,0.028651455515309385
step_015000,15000,clone_to_original,opposite-number-shuffled,object_relative,304,-0.027474706110201384
step_030000,30000,original_to_original,clean,object_relative,304,0.17814551999694422
step_030000,30000,original_to_original,opposite-number,object_relative,304,-9.254405373021176e-08
step_030000,30000,original_to_original,same-number-shuffled,object_relative,304,0.17563045809143468
step_030000,30000,original_to_original,opposite-number-shuffled,object_relative,304,0.0003690358839536968
step_030000,30000,clone_to_clone,clean,object_relative,304,0.3217796463715403
step_030000,30000,clone_to_clone,opposite-number,object_relative,304,-5.097765671579461e-07
step_030000,30000,clone_to_clone,same-number-shuffled,object_relative,304,0.3218373938610679
step_030000,30000,clone_to_clone,opposite-number-shuffled,object_relative,304,-0.006395747787074039
step_030000,30000,original_to_clone,clean,object_relative,304,0.1778348605883749
step_030000,30000,original_to_clone,opposite-number,object_relative,304,0.14613859277022512
step_030000,30000,original_to_clone,same-number-shuffled,object_relative,304,0.1789199239329288
step_030000,30000,original_to_clone,opposite-number-shuffled,object_relative,304,0.14349549538210818
step_030000,30000,clone_to_original,clean,object_relative,304,0.17541186589943736
step_030000,30000,clone_to_original,opposite-number,object_relative,304,0.04886507674267417
step_030000,30000,clone_to_original,same-number-shuffled,object_relative,304,0.17432557281694913
step_030000,30000,clone_to_original,opposite-number-shuffled,object_relative,304,0.041251844481418005
step_050000,50000,original_to_original,clean,object_relative,304,0.4269558379524632
step_050000,50000,original_to_original,opposite-number,object_relative,304,9.411259701377467e-08
step_050000,50000,original_to_original,same-number-shuffled,object_relative,304,0.42527688647571366
step_050000,50000,original_to_original,opposite-number-shuffled,object_relative,304,0.003562528836099725
step_050000,50000,clone_to_clone,clean,object_relative,304,0.37306997023130717
step_050000,50000,clone_to_clone,opposite-number,object_relative,304,1.8822519402754933e-08
step_050000,50000,clone_to_clone,same-number-shuffled,object_relative,304,0.37654075026512146
step_050000,50000,clone_to_clone,opposite-number-shuffled,object_relative,304,-0.007685229966514989
step_050000,50000,original_to_clone,clean,object_relative,304,0.22153983304375097
step_050000,50000,original_to_clone,opposite-number,object_relative,304,0.19524073130206057
step_050000,50000,original_to_clone,same-number-shuffled,object_relative,304,0.2165791109988564
step_050000,50000,original_to_clone,opposite-number-shuffled,object_relative,304,0.18590010937891507
step_050000,50000,clone_to_original,clean,object_relative,304,0.32341609659947845
step_050000,50000,clone_to_original,opposite-number,object_relative,304,0.1737669471063112
step_050000,50000,clone_to_original,same-number-shuffled,object_relative,304,0.3214733537874724
step_050000,50000,clone_to_original,opposite-number-shuffled,object_relative,304,0.1695196299176467
